%PRODUCTID,%SKU,zoovy:prod_ugenre,zoovy:prod_type,zoovy:prod_color,zoovy:prod_name
ON220,ON220,mickeymouse,snapsuit,blue,Mickey Mouse Walt Disney Baby Two Creeper Romper Snapsuit With Bib 3 Piece Set 
ON236,ON236,"winniethepooh,disney",snapsuit,yellow,Winnie The Pooh Disney Cartoon Baby Creeper Romper Snapsuit
ON238,ON238,yogabbagabba,snapsuit,pink,Yo Gabba Gabba Foofa Pretty Girly Cartoon Baby Creeper Romper Snapsuit
ON95,ON95,therollingstones,snapsuit,black,The Rolling Stones Lips Tongue Logo Sticky Lil Fingers Rock Band Baby Creeper Romper
SHOEM33,SHOEM33,looneytunes,slippers,black,Sylvester The Cat Looney Tunes Face Cartoon Plush Mens Slippers
SHOEM41,SHOEM41,phineasandferb,slippers,green,Perry The Platypus Agent P Disney Cartoon Plush Mens Slippers
SOX57-00,SOX57-00,nintendo,socks,green,Nintendo One Up Mushroom Mario Bros Juniors Striped Knee High Socks
TC3,TC3,mlb,buckle,silver,San Francisco Giants Belt Buckle MLB
TR16,TR16,spiderman,throw,red,Amazing Spiderman Webbed Face Marvel Comics Kids Snuggler Fleece Throw Blanket With Sleeves
TR24,TR24,elvis,throw,black,Elvis Presley The King Signature Fleece Throw Blanket
TS1025,TS1025,pearljam,shirt,black,Pearl Jam Stickman Ten Alive Album Rock Band T-Shirt Tee
TS1109-00,TS1109-00,mrbean,shirt,gray,Mr. Bean I'm With Stupid Adult Funny TV Show T-Shirt Tee
TS1114,TS1114,theoffice,shirt,gray,The Office Dwight Schrute Farms Beets Graffiti TV Show Soft T-Shirt Tee
TS1130-01,TS1130-01,breakingbad,"shirt,apparel",gray,Breaking Bad Heisenberg Walt White I Am The Danger TV Show Adult T-Shirt Tee
TS1141-00,TS1141-00,harrypotter,shirt,green,Harry Potter Hogwarts Slytherin Athletic Juniors Babydoll T-Shirt
TS1142-00,TS1142-00,icecube,shirt,black,Ice Cube I Am The West Rap Music T-Shirt Tee
TS1151,TS1151,"xmen,x-men","shirt,apparel",red,X-Men Cast Marvel Comics Comic Page Vintage Style Junk Food Soft T-Shirt Tee
TS1159-DC,TS1159-DC,"sonsofanarchy,soa",shirt,black,Sons Of Anarchy TV Show Grim Reaper Workshirt T-Shirt Tee-Large
TS1166,TS1166,familyguy,shirt,white,Family Guy Stewie Griffin Here To Party Cartoon TV Show T-Shirt Tee
TS1169,TS1169,superman,shirt,black,Superman DC Comics Save The Train Photo Superhero T-Shirt Tee
TS1175,TS1175,itsalwayssunnyinphiladelphia,"shirt,apparel",black,It's Always Sunny In Philadelphia If Found Return To Paddy's Pub TV Show T-Shirt Tee
TS1216,TS1216,down,shirt,black,Down Rock Band Album Cover Adult T-Shirt Tee
TS1217,TS1217,ironmaiden,shirt,black,Iron Maiden Killers Album Cover Rock Band T-Shirt Tee
